hex_id,Visits
8744c101effffff,1
8744c1044ffffff,1
8744c1046ffffff,1
8744c1099ffffff,2
8744c109dffffff,1
8744c10caffffff,1
8744c10d9ffffff,6
8744c10daffffff,1
8744c10eaffffff,1
8744c10f1ffffff,1
8744c1202ffffff,1
8744c120affffff,2
8744c1210ffffff,1
8744c1215ffffff,1
8744c1231ffffff,1
8744c1234ffffff,1
8744c1282ffffff,1
8744c1290ffffff,5
8744c1292ffffff,4
8744c1295ffffff,2
8744c129affffff,1
8744c129effffff,3
8744c12b3ffffff,1
8744c12b5ffffff,1
8744c12b6ffffff,1
8744c12ccffffff,2
8744c1390ffffff,4
8744c139bffffff,4
8744c139effffff,1
8744c13a8ffffff,1
8744c13b0ffffff,2
8744c13b2ffffff,1
8744c13b4ffffff,1
8744c1443ffffff,1
8744c1449ffffff,1
8744c1458ffffff,1
8744c145affffff,5
8744c145bffffff,3
8744c1481ffffff,1
8744c14d0ffffff,1
8744c14e9ffffff,2
8744c1600ffffff,6
8744c1601ffffff,9
8744c1602ffffff,4
8744c1603ffffff,16
8744c1605ffffff,1
8744c1608ffffff,9
8744c1609ffffff,5
8744c160affffff,3
8744c160bffffff,1
8744c160cffffff,3
8744c160dffffff,7
8744c160effffff,4
8744c1610ffffff,16
8744c1611ffffff,5
8744c1612ffffff,13
8744c1613ffffff,44
8744c1614ffffff,13
8744c1615ffffff,12
8744c1616ffffff,11
8744c1618ffffff,4
8744c1619ffffff,16
8744c161affffff,18
8744c161bffffff,21
8744c161cffffff,28
8744c161dffffff,8
8744c161effffff,14
8744c1620ffffff,1
8744c1621ffffff,2
8744c1623ffffff,5
8744c1625ffffff,1
8744c1628ffffff,1
8744c1629ffffff,5
8744c162bffffff,6
8744c162dffffff,2
8744c162effffff,9
8744c1630ffffff,7
8744c1631ffffff,4
8744c1632ffffff,10
8744c1633ffffff,13
8744c1636ffffff,3
8744c1640ffffff,2
8744c1641ffffff,3
8744c1642ffffff,3
8744c1643ffffff,5
8744c1644ffffff,6
8744c1646ffffff,2
8744c164bffffff,1
8744c164dffffff,3
8744c164effffff,7
8744c1650ffffff,4
8744c1651ffffff,2
8744c1652ffffff,16
8744c1653ffffff,12
8744c1654ffffff,3
8744c1655ffffff,2
8744c1656ffffff,7
8744c1658ffffff,13
8744c1659ffffff,5
8744c165affffff,9
8744c165bffffff,6
8744c165cffffff,3
8744c165dffffff,1
8744c165effffff,7
8744c1660ffffff,5
8744c1661ffffff,1
8744c1663ffffff,1
8744c1664ffffff,7
8744c1666ffffff,6
8744c1668ffffff,2
8744c1669ffffff,1
8744c166affffff,4
8744c166bffffff,1
8744c166cffffff,6
8744c166dffffff,2
8744c1670ffffff,4
8744c1671ffffff,2
8744c1672ffffff,7
8744c1673ffffff,6
8744c1674ffffff,8
