id,Pop_2024,Inc_2024
8744c3cddffffff,10,0
8744dc121ffffff,5,0
8744dc161ffffff,10,0
8744dc8d9ffffff,5,0
8744c388cffffff,15,0
8744dc049ffffff,7,0
8744dca09ffffff,7,0
8744dca29ffffff,3,0
8744dc88bffffff,13,0
8744dc310ffffff,8,0
8744dc312ffffff,2,0
8744dd061ffffff,13,0
8744dd06cffffff,3,0
8744dd06effffff,13,0
8744dda90ffffff,4,0
8744ddab1ffffff,8,0
8744ea112ffffff,16,0
8744ea115ffffff,9,0
8744ea1aeffffff,16,0
8744c3794ffffff,13,0
8744ceb06ffffff,11,0
8744c38e3ffffff,7,0
8744c3ba2ffffff,16,0
8744c3bb2ffffff,3,0
8744c3190ffffff,8,0
8744c3194ffffff,16,0
8744c3195ffffff,8,0
8744c2258ffffff,6,0
8744c22cdffffff,16,0
8744c312affffff,7,0
8744c38c2ffffff,14,0
8744c38c6ffffff,16,0
8744c38d5ffffff,4,0
8744ccd74ffffff,16,0
8744cca49ffffff,16,0
8744dca2dffffff,9,0
8744dcb09ffffff,5,0
8744dc151ffffff,13,0
8744ea2aaffffff,11,0
8744eb4aaffffff,4,0
8744c15a3ffffff,12,0
8744ea8e5ffffff,14,0
8744eaccbffffff,9,0
8744ea8c0ffffff,8,0
8744ea8eaffffff,11,0
872649a6affffff,16,0
8744cc613ffffff,12,0
8744cdc60ffffff,8,0
8744cdc8cffffff,4,0
8744cdd5affffff,15,0
8744cd882ffffff,7,0
8744cd88affffff,9,0
8744eaa64ffffff,4,0
8744c36b1ffffff,15,0
8744ce472ffffff,20,0
8744ceb86ffffff,5,0
8744cebb3ffffff,7,0
8744c3c88ffffff,4,0
8744c3c8cffffff,6,0
8744c3caeffffff,11,0
8744c3cf6ffffff,5,0
8744c2093ffffff,16,0
8744c3ca2ffffff,3,0
8744c2720ffffff,15,0
8744eb2e9ffffff,8,0
8744dc966ffffff,14,0
8744dc39dffffff,12,0
8744dc944ffffff,4,0
8744ea4caffffff,7,0
8744cd522ffffff,10,0
8744ddb82ffffff,2,0
8744c3b80ffffff,16,7500
8744c3c53ffffff,16,7500
8744c3ce0ffffff,5,7500
8744c3ce5ffffff,6,7500
8744c3ce9ffffff,20,7500
8744c3cebffffff,12,7500
8744ea84effffff,10,7500
8744ea85cffffff,10,7500
8744c1494ffffff,11,30000
8744dc984ffffff,16,18542
8744dc9a3ffffff,7,18542
8744c3601ffffff,31,40584
8744c3623ffffff,7,40584
8744ccaeaffffff,5,42500
8744cd90dffffff,14,18542
8744cd928ffffff,8,18542
8744c3684ffffff,8,40584
8744c36a3ffffff,39,40584
8744eb572ffffff,14,62500
8744dda0effffff,9,62500
8744c271cffffff,12,32477
8744c0643ffffff,31,25000
8744c0673ffffff,6,25000
8744c06eeffffff,25,25000
8744c025bffffff,10,37500
8744c025cffffff,9,37500
8744cdda4ffffff,9,42500
8744cca4affffff,4,42500
8744c14b3ffffff,69,34085
8744eb3b0ffffff,19,35000
8744eb76bffffff,16,35000
8744e8203ffffff,14,40584
8744c3c51ffffff,21,15000
8744c31b4ffffff,29,15000
8744c1cf2ffffff,11,18542
8744e9486ffffff,24,19092
8744c3000ffffff,18,28747
8744c3020ffffff,10,28747
8744c300bffffff,15,29084
8744c3054ffffff,26,29084
8744c0671ffffff,15,29084
8744c3994ffffff,19,29084
8744c06e9ffffff,8,29084
8744cc951ffffff,12,20000
8744ea662ffffff,23,40584
8744c2056ffffff,11,40584
8744c2060ffffff,12,40584
8744c2062ffffff,14,40584
8744e838bffffff,29,41302
8744ddb2bffffff,13,41420
8744ddb66ffffff,15,50000
8744e879bffffff,10,21209
8744ce000ffffff,6,42500
8744cc611ffffff,13,42500
8744dc95affffff,15,37500
8744dc80affffff,5,37500
8744dc873ffffff,14,37500
8744eb350ffffff,11,87500
8744eb76affffff,13,44898
8744c2333ffffff,23,50000
8744eb8ceffffff,16,40584
8744c3885ffffff,16,35000
8744dcb0bffffff,10,59164
8744c341effffff,7,40584
8744c34e6ffffff,9,40584
8744c380affffff,12,29084
8744ddb24ffffff,17,42500
8744cd905ffffff,13,42500
8744eb64bffffff,8,41089
8744cd962ffffff,12,85357
8744c34b6ffffff,6,25000
8744dc94dffffff,6,25000
8744dc2a0ffffff,35,25000
8744c2083ffffff,14,75000
8744cc703ffffff,9,59164
8744dc808ffffff,6,59164
8744dc872ffffff,8,59164
8744c3016ffffff,32,41302
8744c3158ffffff,12,62500
8744c3172ffffff,10,62500
8744ceba0ffffff,18,92500
8744ceba4ffffff,16,92500
8744ea84affffff,12,18873
8744ea851ffffff,16,18873
8744cc146ffffff,17,85714
8744eb533ffffff,18,40584
8744cd89bffffff,10,40584
8744cd8b0ffffff,12,40584
8744ebd64ffffff,23,40584
8744c1c8effffff,20,29305
8744cd94effffff,27,85714
8744c3069ffffff,20,41302
8744c3404ffffff,31,41302
8744c06b4ffffff,14,41302
8744cd884ffffff,25,41302
8744cd906ffffff,29,41302
8744c260effffff,44,41368
8744ebc2dffffff,20,41420
8744eba94ffffff,46,41585
8744ceb0cffffff,23,62500
8744ccc5bffffff,1056,50352
8744cc09effffff,12,42500
8744ccb20ffffff,14,42500
8744eb498ffffff,7,42500
8744eb386ffffff,7,42500
8744eb768ffffff,9,42500
8744c264bffffff,31,85714
8744cd875ffffff,22,85714
8744eb2d8ffffff,32,85714
8744c3c91ffffff,25,86124
8744ceab0ffffff,10,28747
8744ceab6ffffff,14,28747
8744c3003ffffff,65,35000
8744c3008ffffff,68,35000
8744cd90effffff,25,35000
8744c36a8ffffff,48,50000
8744ddcceffffff,44,50000
8744ea4c9ffffff,31,50000
8744c22c6ffffff,15,58071
8744c3604ffffff,20,50000
8744c36a0ffffff,31,50000
8744eb54affffff,34,35000
8744c2664ffffff,3040,33754
8744dd9a8ffffff,17,100000
8744c3506ffffff,28,50000
8744c14adffffff,29,50000
8744ceb9affffff,15,29226
8744c3040ffffff,22,50000
8744c079bffffff,17,50000
8744eb20affffff,7,50000
8744c3053ffffff,24,29305
8744c300effffff,25,29305
8744c3633ffffff,47,44070
8744e821cffffff,10,118327
8744c3c8affffff,13,100000
8744c39a8ffffff,8,59164
8744c1c11ffffff,16,59164
8744eacdcffffff,19,59164
8744c345affffff,13,44576
8744c34c3ffffff,16,44576
8744c34deffffff,8,44576
8744c18a9ffffff,134,44595
8744c20c8ffffff,182,44748
8744c37b6ffffff,19,44898
8744c3453ffffff,9,44898
8744c38c3ffffff,15,60000
8744c206bffffff,14,60000
8744ddb00ffffff,10,60000
8744eaac8ffffff,27,60354
8744ea652ffffff,33,60354
8744e8483ffffff,25,60354
8744cdcc6ffffff,30,60354
8744ddb42ffffff,8,60354
8744dc148ffffff,49,45382
8744dd940ffffff,42,45419
872649259ffffff,40,60675
8744c342bffffff,37,60761
8744eb3aaffffff,30,65822
8744cc8a5ffffff,195,49083
8744eba90ffffff,44,41461
8744eb8d3ffffff,93,30973
8744c3ce1ffffff,25,21688
8744ccb22ffffff,26,46511
8744c361affffff,33,46667
8744c2ac9ffffff,42,46758
8744cc7b6ffffff,89,46819
8744c20dbffffff,1387,39398
8744c8d8cffffff,44,50000
8744cc50cffffff,16,125000
8744c3ba0ffffff,11,125000
8744cc074ffffff,16,125000
8744cdc41ffffff,19,125000
8744c385effffff,9,75000
8744ea090ffffff,25,50000
8744e82b6ffffff,20,50000
8744c18abffffff,145,48731
8744e949cffffff,223,34109
8744c231bffffff,468,32769
8744eb74cffffff,25,47282
8744c141dffffff,21,50000
8744c0388ffffff,57,63277
8744c199effffff,142,43583
8744c1d52ffffff,23,75000
8744cc280ffffff,22,75000
8744c1b05ffffff,26,18542
8744c0646ffffff,18,31818
8744e95b0ffffff,47,31818
8744c1d6dffffff,89,56716
8744cdd74ffffff,35,31872
8744eb8f3ffffff,41,31912
8744dc273ffffff,45,50000
8744ce949ffffff,106,100000
8744c89b5ffffff,32,85912
8744eaa16ffffff,45,50000
8744eaab0ffffff,19,50000
8744c20e1ffffff,41,69429
8744c1a84ffffff,6830,48632
8744ce864ffffff,31,100000
8744eb09affffff,23,18873
8744ea300ffffff,11,40584
8744ea305ffffff,9,40584
8744eb534ffffff,10,40584
8744cc662ffffff,52,67099
8744c302bffffff,83,50000
8744eab98ffffff,42,50000
8744eaaa6ffffff,40,50000
8744cc3a2ffffff,26,32692
8744cc3a5ffffff,30,32692
8744c22ccffffff,20,75000
8744c22ceffffff,41,75000
8744cd532ffffff,51,35000
8744ce875ffffff,58,100000
8744c32c9ffffff,157,33409
8744c3a23ffffff,3071,43048
8744cc8b5ffffff,18,65822
8744c38e9ffffff,30,60550
8744c2223ffffff,416,52312
8744cc309ffffff,993,40169
8744dc949ffffff,40,35000
8744c2719ffffff,56,33102
8744c3734ffffff,24,50000
8744cc002ffffff,50,50000
8744cc091ffffff,20,50000
8744c3610ffffff,66,50000
8744ccd6affffff,17,50000
8744ccd6bffffff,17,50000
8744c36c4ffffff,23,50000
8744c38f2ffffff,14,50000
8744c38f4ffffff,25,50000
8744c31adffffff,45,50000
8744c3400ffffff,28,50000
8744c3406ffffff,64,50000
8744c3036ffffff,35,50000
8744c3044ffffff,25,50000
8744c3118ffffff,18,50000
8744c34e2ffffff,11,50000
8744d8929ffffff,35,50000
8744dcb2dffffff,9,50000
8744dc246ffffff,10,50000
8744dc28cffffff,35,50000
8744dc92effffff,21,50000
8744eb483ffffff,46,50000
8744eb5a3ffffff,14,50000
8744ea6ddffffff,34,50000
8744c52dbffffff,63,50000
8744c2aceffffff,42,50000
8744c066affffff,13,50000
8744c3984ffffff,15,50000
8744c0694ffffff,7,50000
8744c06ceffffff,11,50000
8744ea86effffff,25,50000
8744eaba1ffffff,34,50000
8744eaba5ffffff,40,50000
8744ea191ffffff,20,50000
