hex_id,Visits
8744c1099ffffff,2
8744c10d9ffffff,4
8744c10eaffffff,1
8744c1295ffffff,1
8744c129effffff,1
8744c12b6ffffff,1
8744c139bffffff,2
8744c145bffffff,1
8744c14d0ffffff,1
8744c1608ffffff,2
8744c1609ffffff,2
8744c160dffffff,4
8744c160effffff,1
8744c1610ffffff,2
8744c1612ffffff,1
8744c1613ffffff,12
8744c1614ffffff,5
8744c1616ffffff,3
8744c1619ffffff,4
8744c161affffff,10
8744c161bffffff,10
8744c161cffffff,15
8744c161dffffff,1
8744c1623ffffff,3
8744c162effffff,7
8744c1632ffffff,3
8744c1633ffffff,8
8744c1640ffffff,1
8744c1641ffffff,1
8744c1642ffffff,2
8744c1644ffffff,3
8744c1650ffffff,1
8744c1652ffffff,4
8744c1653ffffff,10
8744c1656ffffff,3
8744c1658ffffff,2
8744c1659ffffff,1
8744c165affffff,4
8744c165bffffff,3
8744c165cffffff,1
8744c165effffff,1
8744c1663ffffff,1
8744c1664ffffff,4
8744c1666ffffff,2
8744c166affffff,3
8744c1670ffffff,2
8744c1672ffffff,3
8744c1673ffffff,2
8744c1674ffffff,2
8744c1676ffffff,1
8744c1680ffffff,36
8744c1681ffffff,22
8744c1682ffffff,26
8744c1683ffffff,9
8744c1684ffffff,1
8744c1685ffffff,15
8744c1686ffffff,16
8744c1688ffffff,67
8744c1689ffffff,117
8744c168affffff,71
8744c168bffffff,129
8744c168cffffff,50
8744c168dffffff,30
8744c168effffff,8
8744c1690ffffff,23
8744c1691ffffff,16
8744c1692ffffff,2
8744c1693ffffff,75
8744c1694ffffff,6
8744c1695ffffff,5
8744c1696ffffff,20
8744c1698ffffff,141
8744c1699ffffff,86
8744c169affffff,23
8744c169bffffff,284
8744c169cffffff,23
8744c169dffffff,36
8744c169effffff,18
8744c16a0ffffff,1
8744c16a1ffffff,31
8744c16a3ffffff,10
8744c16a5ffffff,7
8744c16a6ffffff,7
8744c16a8ffffff,9
8744c16a9ffffff,5
8744c16aaffffff,6
8744c16abffffff,5
8744c16acffffff,14
8744c16adffffff,5
8744c16aeffffff,46
8744c16b0ffffff,2
