hex_id,Visits
8744c10d9ffffff,1
8744c1210ffffff,1
8744c1290ffffff,3
8744c129effffff,1
8744c12ccffffff,2
8744c13b0ffffff,2
8744c14e9ffffff,1
8744c1600ffffff,3
8744c1601ffffff,1
8744c1602ffffff,4
8744c1608ffffff,1
8744c1609ffffff,1
8744c160affffff,1
8744c1610ffffff,6
8744c1612ffffff,5
8744c1613ffffff,5
8744c1615ffffff,2
8744c1618ffffff,1
8744c1619ffffff,3
8744c161affffff,2
8744c161dffffff,2
8744c161effffff,1
8744c1621ffffff,1
8744c1628ffffff,1
8744c162bffffff,1
8744c1630ffffff,3
8744c1631ffffff,1
8744c1632ffffff,1
8744c1633ffffff,1
8744c1636ffffff,1
8744c1643ffffff,1
8744c1652ffffff,1
8744c1654ffffff,1
8744c1655ffffff,1
8744c1656ffffff,1
8744c1658ffffff,7
8744c1659ffffff,2
8744c165cffffff,2
8744c165dffffff,1
8744c1660ffffff,1
8744c1674ffffff,4
8744c1675ffffff,1
8744c1676ffffff,1
8744c1680ffffff,5
8744c1681ffffff,3
8744c1682ffffff,10
8744c1683ffffff,3
8744c1684ffffff,2
8744c1685ffffff,9
8744c1688ffffff,15
8744c1689ffffff,14
8744c168affffff,2
8744c168bffffff,31
8744c168cffffff,13
8744c168dffffff,2
8744c168effffff,6
8744c1690ffffff,7
8744c1691ffffff,4
8744c1693ffffff,11
8744c1694ffffff,6
8744c1695ffffff,4
8744c1696ffffff,2
8744c1698ffffff,21
8744c1699ffffff,9
8744c169affffff,3
8744c169bffffff,37
8744c169cffffff,10
8744c169dffffff,3
8744c16a0ffffff,7
8744c16a1ffffff,6
8744c16a2ffffff,1
8744c16a3ffffff,13
8744c16a5ffffff,1
8744c16a8ffffff,2
8744c16a9ffffff,2
8744c16abffffff,9
8744c16acffffff,7
8744c16adffffff,6
8744c16aeffffff,14
8744c16b0ffffff,2
8744c16b1ffffff,2
8744c16b2ffffff,6
8744c16b4ffffff,1
8744c16b6ffffff,2
8744c16c0ffffff,2
8744c16c2ffffff,11
8744c16c4ffffff,4
8744c16c5ffffff,1
8744c16c9ffffff,3
8744c16ccffffff,1
8744c16ceffffff,2
8744c16d0ffffff,2
8744c16d2ffffff,3
8744c16d3ffffff,6
8744c16d4ffffff,3
8744c16d6ffffff,5
8744c16daffffff,3
8744c16dbffffff,1
8744c16dcffffff,5
8744c16deffffff,1
8744c16e0ffffff,5
8744c16e1ffffff,2
8744c16e6ffffff,2
8744c16edffffff,1
8744c16eeffffff,1
8744c16f0ffffff,1
8744c16f1ffffff,1
8744c16f3ffffff,4
8744c16f4ffffff,2
8744c16f5ffffff,1
8744c16f6ffffff,1
8744c1746ffffff,4
8744c174bffffff,1
8744c174dffffff,1
8744c1752ffffff,1
8744c1760ffffff,1
8744c1785ffffff,2
8744c1788ffffff,4
8744c1789ffffff,2
8744c178bffffff,2
8744c178cffffff,2
8744c178dffffff,4
8744c1798ffffff,1
8744c1799ffffff,2
8744c179affffff,9
8744c179bffffff,1
8744c179dffffff,1
8744c17a6ffffff,2
8744c17abffffff,2
8744c30cbffffff,1
8744c3244ffffff,1
8744c3246ffffff,2
8744c3359ffffff,1
8744c3368ffffff,1
8744c3371ffffff,1
8744c3374ffffff,2
8744c3375ffffff,1
8744c338dffffff,1
8744c3a05ffffff,5
8744c3a10ffffff,1
8744c3a11ffffff,1
8744c3a15ffffff,5
8744c3a18ffffff,1
8744c3a1affffff,1
8744c3a29ffffff,4
8744c3a41ffffff,3
8744c3a42ffffff,2
8744c3a44ffffff,2
8744c3a46ffffff,3
8744c3a48ffffff,2
8744c3a49ffffff,39
8744c3a4affffff,6
8744c3a4bffffff,2
8744c3a4dffffff,16
8744c3a4effffff,2
8744c3a51ffffff,1
8744c3a58ffffff,4
8744c3a59ffffff,7
8744c3a5affffff,5
8744c3a5bffffff,3
8744c3a5dffffff,2
8744c3a5effffff,5
8744c3a60ffffff,2
8744c3a61ffffff,2
8744c3a68ffffff,5
8744c3a69ffffff,6
8744c3a6bffffff,7
8744c3a6cffffff,11
8744c3a6dffffff,5
8744c3a72ffffff,2
8744c3a75ffffff,2
8744c3acdffffff,3
8744c3ad0ffffff,1
8744c3ad8ffffff,3
8744c3ae4ffffff,3
8744c3ae8ffffff,1
8744c3ae9ffffff,1
8744c3af0ffffff,4
8744c3af1ffffff,2
8744c3af4ffffff,3
8744c3b01ffffff,1
8744c3b48ffffff,11
8744c3b4affffff,1
8744c3b4dffffff,10
8744c3b58ffffff,1
8744c3b5dffffff,1
8744c3b61ffffff,1
8744c3b6bffffff,1
8744c3b6effffff,1
8744ce034ffffff,2
8744ce430ffffff,1
8744ce435ffffff,1
8744ce51bffffff,2
8744ce532ffffff,2
8744ce581ffffff,6
8744ce598ffffff,1
8744ce813ffffff,8
8744ce84affffff,1
8744ce884ffffff,5
8744ce885ffffff,2
8744ce89cffffff,1
8744ce8f1ffffff,1
8744ce91bffffff,1
8744ce982ffffff,3
8744ce990ffffff,1
8744ce99cffffff,1
8744ce9a4ffffff,2
8744ce9a6ffffff,1
8744ce9b0ffffff,7
8744ce9b5ffffff,4
8744ce9b6ffffff,1
8744cec0affffff,1
8744cec11ffffff,1
8744cec13ffffff,5
8744cec20ffffff,1
8744cec30ffffff,1
8744cec34ffffff,7
8744cec35ffffff,6
8744cec36ffffff,1
8744cec54ffffff,3
8744cec64ffffff,1
8744cec69ffffff,6
8744cec88ffffff,1
8744cec91ffffff,2
8744cec93ffffff,3
8744ceca5ffffff,3
8744ceca9ffffff,1
8744cecc1ffffff,1
8744cecc5ffffff,5
8744ced00ffffff,2
8744ced01ffffff,3
8744ced02ffffff,1
8744ced03ffffff,10
8744ced05ffffff,5
8744ced06ffffff,20
8744ced08ffffff,4
8744ced09ffffff,6
8744ced0affffff,1
8744ced0bffffff,1
8744ced0cffffff,1
8744ced0effffff,19
8744ced11ffffff,11
8744ced13ffffff,2
8744ced15ffffff,9
8744ced16ffffff,2
8744ced18ffffff,2
8744ced19ffffff,2
8744ced1bffffff,1
8744ced1effffff,5
8744ced21ffffff,12
8744ced22ffffff,15
8744ced24ffffff,22
8744ced25ffffff,19
8744ced26ffffff,17
8744ced28ffffff,2
8744ced29ffffff,2
8744ced2cffffff,8
8744ced2effffff,10
8744ced30ffffff,21
8744ced31ffffff,22
8744ced32ffffff,20
8744ced33ffffff,16
8744ced34ffffff,4
8744ced35ffffff,51
8744ced36ffffff,55
8744ced4cffffff,1
8744ced4effffff,1
8744ced64ffffff,2
8744ced66ffffff,1
8744ced68ffffff,3
8744ced72ffffff,4
8744ced74ffffff,3
8744ced76ffffff,1
8744ced80ffffff,13
8744ced81ffffff,8
8744ced84ffffff,2
8744ced85ffffff,20
8744ced86ffffff,1
8744ced89ffffff,1
8744ced8affffff,7
8744ced8cffffff,1
8744ced95ffffff,3
8744ced9dffffff,1
8744ceda2ffffff,2
8744ceda3ffffff,1
8744ceda4ffffff,4
8744ceda6ffffff,2
8744cedaaffffff,1
8744cedabffffff,3
8744cedadffffff,1
8744cedb4ffffff,5
8744cedb5ffffff,6
8744cedb6ffffff,5
