hex_id,Visits
8744c1609ffffff,1
8744c160dffffff,1
8744c161affffff,1
8744c161bffffff,1
8744c161cffffff,2
8744c161effffff,1
8744c1631ffffff,3
8744c1632ffffff,1
8744c164effffff,1
8744c1650ffffff,1
8744c1652ffffff,1
8744c165effffff,1
8744c1670ffffff,1
8744c1671ffffff,1
8744c1682ffffff,4
8744c1683ffffff,1
8744c1685ffffff,1
8744c1688ffffff,6
8744c1689ffffff,2
8744c168affffff,6
8744c168bffffff,2
8744c168cffffff,1
8744c168dffffff,1
8744c1695ffffff,1
8744c1698ffffff,2
8744c1699ffffff,6
8744c169bffffff,4
8744c169cffffff,1
8744c16a0ffffff,1
8744c16a1ffffff,1
8744c16a3ffffff,3
8744c16a5ffffff,1
8744c16acffffff,3
8744c16aeffffff,2
8744c16c0ffffff,1
8744c16c4ffffff,1
8744c16c5ffffff,1
8744c16c6ffffff,1
8744c16cdffffff,1
8744c16d2ffffff,3
8744c16d3ffffff,1
8744c16d5ffffff,4
8744c16dcffffff,1
8744c16deffffff,2
8744c16e5ffffff,1
8744c16f1ffffff,2
8744c16f2ffffff,1
8744c16f3ffffff,1
8744c16f4ffffff,1
8744c170bffffff,2
8744c172dffffff,2
8744c1752ffffff,1
8744c175dffffff,1
8744c1789ffffff,1
8744c17abffffff,1
8744c3264ffffff,3
8744c3365ffffff,1
8744c3a0dffffff,3
8744c3a42ffffff,1
8744c3a48ffffff,2
8744c3a49ffffff,1
8744c3a4cffffff,1
8744c3a4dffffff,2
8744c3a4effffff,1
8744c3a53ffffff,2
8744c3a58ffffff,2
8744c3a5bffffff,1
8744c3a60ffffff,1
8744c3a68ffffff,2
8744c3a69ffffff,2
8744c3a6bffffff,4
8744c3a6cffffff,1
8744c3a6dffffff,6
8744c3a6effffff,2
8744c3b48ffffff,1
8744c3b49ffffff,1
8744c3b75ffffff,1
8744c3b89ffffff,1
8744ce574ffffff,1
8744ce981ffffff,1
8744ce9a2ffffff,1
8744ce9a3ffffff,1
8744cec13ffffff,2
8744cec20ffffff,1
8744cec35ffffff,4
8744cec36ffffff,1
8744cecb4ffffff,5
8744ced01ffffff,2
8744ced03ffffff,3
8744ced04ffffff,1
8744ced05ffffff,1
8744ced06ffffff,5
8744ced08ffffff,1
8744ced0affffff,1
8744ced0cffffff,2
8744ced0dffffff,1
8744ced14ffffff,1
8744ced19ffffff,1
8744ced1dffffff,2
8744ced20ffffff,1
8744ced21ffffff,4
8744ced22ffffff,1
8744ced24ffffff,3
8744ced25ffffff,1
8744ced26ffffff,6
8744ced28ffffff,1
8744ced2cffffff,5
8744ced2dffffff,1
8744ced2effffff,1
8744ced30ffffff,8
8744ced31ffffff,6
8744ced32ffffff,3
8744ced33ffffff,3
8744ced35ffffff,15
8744ced36ffffff,18
8744ced80ffffff,4
8744ced81ffffff,5
8744ced84ffffff,1
8744ced86ffffff,1
8744ced9dffffff,1
8744ceda4ffffff,2
8744ceda5ffffff,2
8744cedadffffff,2
8744cedb1ffffff,1
8744cedb5ffffff,1
