hex_id,Visits
8744c101effffff,1
8744c1044ffffff,1
8744c1046ffffff,1
8744c109dffffff,1
8744c10caffffff,1
8744c10d9ffffff,1
8744c10daffffff,1
8744c10f1ffffff,1
8744c1202ffffff,1
8744c120affffff,2
8744c1215ffffff,1
8744c1231ffffff,1
8744c1234ffffff,1
8744c1282ffffff,1
8744c1290ffffff,2
8744c1292ffffff,4
8744c1295ffffff,1
8744c129affffff,1
8744c129effffff,1
8744c12b3ffffff,1
8744c12b5ffffff,1
8744c1390ffffff,4
8744c139bffffff,2
8744c139effffff,1
8744c13a8ffffff,1
8744c13b2ffffff,1
8744c13b4ffffff,1
8744c1443ffffff,1
8744c1449ffffff,1
8744c1458ffffff,1
8744c145affffff,5
8744c145bffffff,1
8744c1481ffffff,1
8744c14e9ffffff,1
8744c1600ffffff,3
8744c1601ffffff,7
8744c1603ffffff,16
8744c1605ffffff,1
8744c1608ffffff,6
8744c1609ffffff,1
8744c160affffff,2
8744c160bffffff,1
8744c160cffffff,3
8744c160dffffff,1
8744c160effffff,3
8744c1610ffffff,8
8744c1611ffffff,5
8744c1612ffffff,6
8744c1613ffffff,27
8744c1614ffffff,8
8744c1615ffffff,9
8744c1616ffffff,7
8744c1618ffffff,2
8744c1619ffffff,9
8744c161affffff,4
8744c161bffffff,10
8744c161cffffff,11
8744c161dffffff,5
8744c161effffff,10
8744c1620ffffff,1
8744c1621ffffff,1
8744c1623ffffff,2
8744c1625ffffff,1
8744c1629ffffff,4
8744c162bffffff,3
8744c162dffffff,2
8744c162effffff,2
8744c1630ffffff,4
8744c1632ffffff,5
8744c1633ffffff,3
8744c1636ffffff,2
8744c1640ffffff,1
8744c1641ffffff,2
8744c1642ffffff,1
8744c1643ffffff,3
8744c1644ffffff,3
8744c1646ffffff,2
8744c164bffffff,1
8744c164dffffff,3
8744c164effffff,6
8744c1650ffffff,1
8744c1651ffffff,1
8744c1652ffffff,10
8744c1653ffffff,2
8744c1654ffffff,2
8744c1655ffffff,1
8744c1656ffffff,1
8744c1658ffffff,4
8744c1659ffffff,2
8744c165affffff,3
8744c165bffffff,2
8744c165effffff,3
8744c1660ffffff,4
8744c1661ffffff,1
8744c1664ffffff,3
8744c1666ffffff,3
8744c1668ffffff,2
8744c1669ffffff,1
8744c166affffff,1
8744c166bffffff,1
8744c166cffffff,6
8744c166dffffff,2
8744c1670ffffff,1
8744c1671ffffff,1
8744c1672ffffff,4
8744c1673ffffff,2
8744c1674ffffff,2
8744c1675ffffff,1
8744c1676ffffff,3
8744c1680ffffff,110
8744c1681ffffff,48
8744c1682ffffff,125
8744c1683ffffff,82
8744c1684ffffff,10
8744c1685ffffff,57
8744c1686ffffff,56
8744c1688ffffff,379
8744c1689ffffff,428
8744c168affffff,296
8744c168bffffff,436
8744c168cffffff,75
