hex_id,value
8744ceb06ffffff,11
8744c3ba2ffffff,16
8744c3bb2ffffff,3
8744c312affffff,7
8744c38c2ffffff,14
8744c38c6ffffff,16
8744c38d5ffffff,4
8744c15a3ffffff,12
8744ce472ffffff,20
8744ceb86ffffff,5
8744cebb3ffffff,7
8744ea4caffffff,7
8744c3b80ffffff,16
8744c1494ffffff,11
8744c14b3ffffff,69
8744c3000ffffff,18
8744c3020ffffff,10
8744c300bffffff,15
8744c3054ffffff,26
8744ce000ffffff,6
8744c3158ffffff,12
8744c3172ffffff,10
8744ceba0ffffff,18
8744ceba4ffffff,16
8744c3069ffffff,20
8744c3003ffffff,65
8744c3008ffffff,68
8744ea4c9ffffff,31
8744c14adffffff,29
8744c3040ffffff,22
8744c3053ffffff,24
8744c300effffff,25
8744c38c3ffffff,15
8744c3ba0ffffff,11
8744c141dffffff,21
8744c1b05ffffff,26
8744ce949ffffff,106
8744c1a84ffffff,6830
8744ce864ffffff,31
8744c302bffffff,83
8744ce875ffffff,58
8744c32c9ffffff,157
8744c3a23ffffff,3071
8744c38e9ffffff,30
8744c3734ffffff,24
8744c3044ffffff,25
8744c14a9ffffff,6
8744c3b83ffffff,118
8744c1b04ffffff,1499
8744c14b2ffffff,196
8744c1b62ffffff,129
8744c3bb5ffffff,4
8744c3bb6ffffff,6
8744c312effffff,6
8744c109effffff,933
8744c3744ffffff,5
8744c3771ffffff,11
8744c3775ffffff,8
8744c3703ffffff,14
8744ce865ffffff,102
8744c3009ffffff,22
8744cecf5ffffff,70
8744ced9effffff,72
8744ce8b0ffffff,1117
8744c109cffffff,671
8744c1a0affffff,764
8744c3ad9ffffff,146
8744c102affffff,82
8744c1a92ffffff,6297
8744c3b2effffff,28
8744c3adaffffff,206
8744ce508ffffff,68
8744c1663ffffff,3761
8744c1ab1ffffff,4196
8744c1781ffffff,71
8744ce94bffffff,198
8744c315dffffff,30
8744ce476ffffff,54
8744c30d4ffffff,11
8744c3749ffffff,19
8744ceb15ffffff,10
8744ce0f5ffffff,17
8744c1ab5ffffff,2584
8744c3b81ffffff,102
8744c3731ffffff,25
8744c3704ffffff,30
8744c315affffff,66
8744c3173ffffff,61
8744c1311ffffff,7610
8744cec45ffffff,23
8744c1a12ffffff,6955
8744c120cffffff,3818
8744cecdcffffff,52
8744c3a29ffffff,1008
8744c1486ffffff,247
8744c1a03ffffff,2443
8744c1a32ffffff,8076
8744c344dffffff,72
8744ce576ffffff,5
8744c3055ffffff,56
8744c3076ffffff,93
8744ea4c8ffffff,57
8744c331cffffff,90
8744c1750ffffff,2260
8744ce556ffffff,42
8744c1b03ffffff,3529
8744c3314ffffff,62
8744c3148ffffff,17
8744c3a05ffffff,5952
8744c1b8bffffff,2678
8744c1743ffffff,3306
8744c132affffff,7329
8744c3364ffffff,241
8744dd935ffffff,99
8744c3300ffffff,120
8744c1b06ffffff,4718
8744ce414ffffff,113
8744cc496ffffff,162
8744c1b66ffffff,182
8744ea4ddffffff,106
8744c17a2ffffff,506
8744c10aaffffff,227
8744c1064ffffff,4357
8744c3046ffffff,34
8744c1b02ffffff,718
