hex_id,value
8744c02c9ffffff,
8744c02cbffffff,1
8744c1000ffffff,44
8744c1001ffffff,30
8744c1002ffffff,25
8744c1003ffffff,34
8744c1004ffffff,5
8744c1005ffffff,9
8744c1006ffffff,33
8744c1008ffffff,72
8744c1009ffffff,177
8744c100affffff,11
8744c100bffffff,1
8744c100cffffff,20
8744c100dffffff,43
8744c100effffff,49
8744c1010ffffff,49
8744c1011ffffff,44
8744c1012ffffff,6
8744c1013ffffff,111
8744c1014ffffff,72
8744c1015ffffff,13
8744c1016ffffff,34
8744c1018ffffff,22
8744c1019ffffff,56
8744c101affffff,18
8744c101bffffff,4
8744c101cffffff,3
8744c101dffffff,11
8744c101effffff,80
8744c1020ffffff,4
8744c1021ffffff,18
8744c1022ffffff,6
8744c1023ffffff,43
8744c1024ffffff,8
8744c1025ffffff,16
8744c1026ffffff,13
8744c1028ffffff,16
8744c1029ffffff,68
8744c102affffff,3
8744c102bffffff,28
8744c102cffffff,23
8744c102dffffff,60
8744c102effffff,43
8744c1030ffffff,20
8744c1031ffffff,20
8744c1032ffffff,86
8744c1033ffffff,72
8744c1034ffffff,22
8744c1035ffffff,9
8744c1036ffffff,56
8744c1040ffffff,100
8744c1041ffffff,107
8744c1042ffffff,166
8744c1043ffffff,95
8744c1044ffffff,101
8744c1045ffffff,69
8744c1046ffffff,124
8744c1048ffffff,104
8744c1049ffffff,53
8744c104affffff,128
8744c104bffffff,157
8744c104cffffff,110
8744c104dffffff,133
8744c104effffff,102
8744c1050ffffff,63
8744c1051ffffff,73
8744c1052ffffff,74
8744c1053ffffff,66
8744c1054ffffff,77
8744c1055ffffff,99
8744c1056ffffff,36
8744c1058ffffff,60
8744c1059ffffff,13
8744c105affffff,10
8744c105bffffff,55
8744c105cffffff,150
8744c105dffffff,92
8744c105effffff,7
8744c1060ffffff,92
8744c1061ffffff,134
8744c1062ffffff,110
8744c1063ffffff,141
8744c1064ffffff,84
8744c1065ffffff,102
8744c1066ffffff,72
8744c1068ffffff,117
8744c1069ffffff,183
8744c106affffff,101
8744c106bffffff,156
8744c106cffffff,130
8744c106dffffff,201
8744c106effffff,127
8744c1070ffffff,42
8744c1071ffffff,90
8744c1072ffffff,193
8744c1073ffffff,174
8744c1074ffffff,62
8744c1075ffffff,78
8744c1076ffffff,191
8744c1081ffffff,14
8744c1085ffffff,4
8744c1088ffffff,1
8744c1089ffffff,2
8744c108affffff,4
8744c108bffffff,15
8744c108cffffff,5
8744c108dffffff,8
8744c108effffff,3
8744c1091ffffff,9
8744c1092ffffff,11
8744c1093ffffff,5
8744c1098ffffff,19
8744c1099ffffff,11
8744c109affffff,21
8744c109bffffff,14
8744c109cffffff,5
8744c109dffffff,5
8744c109effffff,13
8744c10a0ffffff,14
8744c10a1ffffff,11
8744c10a4ffffff,32
8744c10a5ffffff,30
8744c10a8ffffff,53
8744c10a9ffffff,10
8744c10aaffffff,17
8744c10abffffff,8
8744c10acffffff,81
8744c10adffffff,53
8744c10aeffffff,32
8744c10c0ffffff,62
8744c10c1ffffff,96
8744c10c2ffffff,54
8744c10c3ffffff,97
8744c10c4ffffff,62
8744c10c5ffffff,37
8744c10c6ffffff,57
8744c10c8ffffff,48
8744c10c9ffffff,74
8744c10caffffff,83
8744c10cbffffff,82
8744c10ccffffff,69
8744c10cdffffff,79
8744c10ceffffff,83
8744c10d0ffffff,19
8744c10d1ffffff,31
8744c10d2ffffff,8
8744c10d3ffffff,76
8744c10d4ffffff,4
8744c10d5ffffff,48
8744c10d6ffffff,15
8744c10d8ffffff,64
8744c10d9ffffff,75
8744c10daffffff,90
8744c10dbffffff,83
8744c10dcffffff,55
8744c10ddffffff,79
8744c10deffffff,74
8744c10e0ffffff,4
8744c10e1ffffff,192
8744c10e2ffffff,54
8744c10e3ffffff,17
8744c10e4ffffff,36
8744c10e5ffffff,41
8744c10e6ffffff,11
8744c10e8ffffff,73
8744c10e9ffffff,64
8744c10eaffffff,30
8744c10ebffffff,55
8744c10ecffffff,99
8744c10edffffff,1
8744c10eeffffff,87
8744c10f0ffffff,5
8744c10f1ffffff,78
8744c10f2ffffff,4
8744c10f3ffffff,43
8744c10f4ffffff,19
8744c10f5ffffff,31
8744c10f6ffffff,8
8744c110affffff,12
8744c110bffffff,22
8744c1113ffffff,7
8744c1118ffffff,6
8744c1119ffffff,5
8744c111affffff,19
8744c111effffff,23
8744c1143ffffff,39
8744c1148ffffff,82
8744c1149ffffff,46
8744c114affffff,121
8744c114bffffff,48
8744c114cffffff,40
8744c114dffffff,80
8744c114effffff,39
8744c1152ffffff,15
8744c1153ffffff,7
8744c1156ffffff,11
8744c1158ffffff,121
8744c1159ffffff,117
8744c115affffff,56
8744c115bffffff,49
8744c115cffffff,26
8744c115dffffff,64
8744c115effffff,12
8744c1169ffffff,50
8744c116bffffff,49
8744c1188ffffff,83
8744c1189ffffff,37
8744c118bffffff,116
8744c118cffffff,50
8744c118dffffff,50
8744c11a8ffffff,37
8744c11a9ffffff,53
8744c11abffffff,54
8744c11adffffff,52
8744c1200ffffff,88
8744c1201ffffff,49
8744c1202ffffff,177
8744c1203ffffff,49
8744c1204ffffff,92
8744c1205ffffff,83
8744c1206ffffff,81
8744c1208ffffff,108
8744c1209ffffff,43
8744c120affffff,207
8744c120bffffff,43
8744c120cffffff,81
8744c120dffffff,101
8744c120effffff,166
8744c1210ffffff,39
8744c1211ffffff,106
8744c1212ffffff,121
8744c1213ffffff,193
8744c1214ffffff,102
8744c1215ffffff,127
8744c1216ffffff,44
8744c1218ffffff,38
8744c1219ffffff,149
8744c121affffff,32
8744c121bffffff,51
8744c121cffffff,68
8744c121dffffff,245
8744c121effffff,99
8744c1220ffffff,59
8744c1221ffffff,128
8744c1222ffffff,83
8744c1223ffffff,118
8744c1224ffffff,103
8744c1225ffffff,103
8744c1226ffffff,90
8744c1228ffffff,114
8744c1229ffffff,88
8744c122affffff,71
8744c122bffffff,70
8744c122cffffff,121
8744c122dffffff,62
8744c122effffff,58
8744c1230ffffff,58
8744c1231ffffff,150
8744c1232ffffff,87
8744c1233ffffff,77
8744c1234ffffff,65
8744c1235ffffff,71
8744c1236ffffff,124
8744c1250ffffff,43
8744c1251ffffff,21
8744c1252ffffff,23
8744c1253ffffff,32
8744c1254ffffff,13
8744c1255ffffff,69
8744c1256ffffff,52
8744c125effffff,13
8744c1270ffffff,30
8744c1271ffffff,45
8744c1272ffffff,111
8744c1273ffffff,23
8744c1274ffffff,104
8744c1275ffffff,54
8744c1276ffffff,106
8744c1280ffffff,34
8744c1281ffffff,40
8744c1282ffffff,60
8744c1283ffffff,58
8744c1284ffffff,29
8744c1285ffffff,88
8744c1286ffffff,52
8744c1288ffffff,66
8744c1289ffffff,79
8744c128affffff,57
