hex_id,value
8744c02c9ffffff,
8744c02cbffffff,120000
8744c1000ffffff,310500
8744c1001ffffff,432500
8744c1002ffffff,260000
8744c1003ffffff,272500
8744c1004ffffff,384000
8744c1005ffffff,405106
8744c1006ffffff,287000
8744c1008ffffff,225000
8744c1009ffffff,239000
8744c100affffff,299900
8744c100bffffff,400000
8744c100cffffff,255600
8744c100dffffff,195000
8744c100effffff,335000
8744c1010ffffff,205000
8744c1011ffffff,269900
8744c1012ffffff,249450
8744c1013ffffff,208000
8744c1014ffffff,370990
8744c1015ffffff,323794
8744c1016ffffff,272450
8744c1018ffffff,130446.5
8744c1019ffffff,351500
8744c101affffff,230989
8744c101bffffff,375000
8744c101cffffff,250000
8744c101dffffff,255000
8744c101effffff,249900
8744c1020ffffff,338000
8744c1021ffffff,256500
8744c1022ffffff,347500
8744c1023ffffff,252000
8744c1024ffffff,557500
8744c1025ffffff,374715
8744c1026ffffff,399900
8744c1028ffffff,379000
8744c1029ffffff,270000
8744c102affffff,240000
8744c102bffffff,375000
8744c102cffffff,245000
8744c102dffffff,418090
8744c102effffff,242000
8744c1030ffffff,415000
8744c1031ffffff,368500
8744c1032ffffff,240289.5
8744c1033ffffff,250500
8744c1034ffffff,300000
8744c1035ffffff,395000
8744c1036ffffff,334500
8744c1040ffffff,259000
8744c1041ffffff,288000
8744c1042ffffff,250000
8744c1043ffffff,226000
8744c1044ffffff,260000
8744c1045ffffff,279000
8744c1046ffffff,252500
8744c1048ffffff,335000
8744c1049ffffff,375000
8744c104affffff,305000
8744c104bffffff,435000
8744c104cffffff,288350
8744c104dffffff,410000
8744c104effffff,310500
8744c1050ffffff,299000
8744c1051ffffff,275000
8744c1052ffffff,286500
8744c1053ffffff,283250
8744c1054ffffff,265000
8744c1055ffffff,255000
8744c1056ffffff,246500
8744c1058ffffff,234750
8744c1059ffffff,500000
8744c105affffff,623240
8744c105bffffff,625000
8744c105cffffff,249900
8744c105dffffff,239450
8744c105effffff,260000
8744c1060ffffff,244500
8744c1061ffffff,251450
8744c1062ffffff,233250
8744c1063ffffff,223000
8744c1064ffffff,277000
8744c1065ffffff,230000
8744c1066ffffff,283300
8744c1068ffffff,530000
8744c1069ffffff,495000
8744c106affffff,470000
8744c106bffffff,343000
8744c106cffffff,379225
8744c106dffffff,500000
8744c106effffff,309500
8744c1070ffffff,290000
8744c1071ffffff,269000
8744c1072ffffff,267700
8744c1073ffffff,235000
8744c1074ffffff,269500
8744c1075ffffff,250900
8744c1076ffffff,188000
8744c1081ffffff,270000
8744c1085ffffff,337750
8744c1088ffffff,627000
8744c1089ffffff,165000
8744c108affffff,432500
8744c108bffffff,499900
8744c108cffffff,364900
8744c108dffffff,485000
8744c108effffff,540000
8744c1091ffffff,409900
8744c1092ffffff,505000
8744c1093ffffff,470000
8744c1098ffffff,360000
8744c1099ffffff,585000
8744c109affffff,335000
8744c109bffffff,312085
8744c109cffffff,302877
8744c109dffffff,230000
8744c109effffff,239900
8744c10a0ffffff,537100
8744c10a1ffffff,200000
8744c10a4ffffff,310000
8744c10a5ffffff,315000
8744c10a8ffffff,330000
8744c10a9ffffff,212750
8744c10aaffffff,295000
8744c10abffffff,198995
8744c10acffffff,355000
8744c10adffffff,218500
8744c10aeffffff,322874.5
8744c10c0ffffff,336500
8744c10c1ffffff,314450
8744c10c2ffffff,360000
8744c10c3ffffff,317000
8744c10c4ffffff,318500
8744c10c5ffffff,330000
8744c10c6ffffff,375000
8744c10c8ffffff,419000
8744c10c9ffffff,480000
8744c10caffffff,396000
8744c10cbffffff,401900
8744c10ccffffff,328000
8744c10cdffffff,399000
8744c10ceffffff,357700
8744c10d0ffffff,336939
8744c10d1ffffff,375000
8744c10d2ffffff,444625
8744c10d3ffffff,416000
8744c10d4ffffff,394900
8744c10d5ffffff,372500
8744c10d6ffffff,369900
8744c10d8ffffff,309825
8744c10d9ffffff,382500
8744c10daffffff,345000
8744c10dbffffff,407500
8744c10dcffffff,359900
8744c10ddffffff,341000
8744c10deffffff,346500
8744c10e0ffffff,334000
8744c10e1ffffff,349750
8744c10e2ffffff,282125
8744c10e3ffffff,343200
8744c10e4ffffff,309000
8744c10e5ffffff,290000
8744c10e6ffffff,355000
8744c10e8ffffff,348900
8744c10e9ffffff,364000
8744c10eaffffff,433500
8744c10ebffffff,375000
8744c10ecffffff,340000
8744c10edffffff,350000
8744c10eeffffff,320500
