hex_id,value
8744c3cddffffff,0
8744dc121ffffff,0
8744dc161ffffff,0
8744dc8d9ffffff,0
8744c388cffffff,0
8744dc049ffffff,0
8744dca09ffffff,0
8744dca29ffffff,0
8744dc88bffffff,0
8744dc310ffffff,0
8744dc312ffffff,0
8744dd061ffffff,0
8744dd06cffffff,0
8744dd06effffff,0
8744dda90ffffff,0
8744ddab1ffffff,0
8744ea112ffffff,0
8744ea115ffffff,0
8744ea1aeffffff,0
8744c3794ffffff,0
8744ceb06ffffff,0
8744c38e3ffffff,0
8744c3ba2ffffff,0
8744c3bb2ffffff,0
8744c3190ffffff,0
8744c3194ffffff,0
8744c3195ffffff,0
8744c2258ffffff,0
8744c22cdffffff,0
8744c312affffff,0
8744c38c2ffffff,0
8744c38c6ffffff,0
8744c38d5ffffff,0
8744ccd74ffffff,0
8744cca49ffffff,0
8744dca2dffffff,0
8744dcb09ffffff,0
8744dc151ffffff,0
8744ea2aaffffff,0
8744eb4aaffffff,0
8744c15a3ffffff,0
8744ea8e5ffffff,0
8744eaccbffffff,0
8744ea8c0ffffff,0
8744ea8eaffffff,0
872649a6affffff,0
8744cc613ffffff,0
8744cdc60ffffff,0
8744cdc8cffffff,0
8744cdd5affffff,0
8744cd882ffffff,0
8744cd88affffff,0
8744eaa64ffffff,0
8744c36b1ffffff,0
8744ce472ffffff,0
8744ceb86ffffff,0
8744cebb3ffffff,0
8744c3c88ffffff,0
8744c3c8cffffff,0
8744c3caeffffff,0
8744c3cf6ffffff,0
8744c2093ffffff,0
8744c3ca2ffffff,0
8744c2720ffffff,0
8744eb2e9ffffff,0
8744dc966ffffff,0
8744dc39dffffff,0
8744dc944ffffff,0
8744ea4caffffff,0
8744cd522ffffff,0
8744ddb82ffffff,0
8744c3b80ffffff,7500
8744c3c53ffffff,7500
8744c3ce0ffffff,7500
8744c3ce5ffffff,7500
8744c3ce9ffffff,7500
8744c3cebffffff,7500
8744ea84effffff,7500
8744ea85cffffff,7500
8744c1494ffffff,30000
8744dc984ffffff,18542
8744dc9a3ffffff,18542
8744c3601ffffff,40584
8744c3623ffffff,40584
8744ccaeaffffff,42500
8744cd90dffffff,18542
8744cd928ffffff,18542
8744c3684ffffff,40584
8744c36a3ffffff,40584
8744eb572ffffff,62500
8744dda0effffff,62500
8744c271cffffff,32477
8744c0643ffffff,25000
8744c0673ffffff,25000
8744c06eeffffff,25000
8744c025bffffff,37500
8744c025cffffff,37500
8744cdda4ffffff,42500
8744cca4affffff,42500
8744c14b3ffffff,34085
8744eb3b0ffffff,35000
8744eb76bffffff,35000
8744e8203ffffff,40584
8744c3c51ffffff,15000
8744c31b4ffffff,15000
8744c1cf2ffffff,18542
8744e9486ffffff,19092
8744c3000ffffff,28747
8744c3020ffffff,28747
8744c300bffffff,29084
8744c3054ffffff,29084
8744c0671ffffff,29084
8744c3994ffffff,29084
8744c06e9ffffff,29084
8744cc951ffffff,20000
8744ea662ffffff,40584
8744c2056ffffff,40584
8744c2060ffffff,40584
8744c2062ffffff,40584
8744e838bffffff,41302
8744ddb2bffffff,41420
8744ddb66ffffff,50000
8744e879bffffff,21209
8744ce000ffffff,42500
8744cc611ffffff,42500
8744dc95affffff,37500
8744dc80affffff,37500
8744dc873ffffff,37500
8744eb350ffffff,87500
8744eb76affffff,44898
8744c2333ffffff,50000
8744eb8ceffffff,40584
8744c3885ffffff,35000
8744dcb0bffffff,59164
8744c341effffff,40584
8744c34e6ffffff,40584
8744c380affffff,29084
8744ddb24ffffff,42500
8744cd905ffffff,42500
8744eb64bffffff,41089
8744cd962ffffff,85357
8744c34b6ffffff,25000
8744dc94dffffff,25000
8744dc2a0ffffff,25000
8744c2083ffffff,75000
8744cc703ffffff,59164
8744dc808ffffff,59164
8744dc872ffffff,59164
8744c3016ffffff,41302
8744c3158ffffff,62500
8744c3172ffffff,62500
8744ceba0ffffff,92500
8744ceba4ffffff,92500
8744ea84affffff,18873
8744ea851ffffff,18873
8744cc146ffffff,85714
8744eb533ffffff,40584
8744cd89bffffff,40584
8744cd8b0ffffff,40584
8744ebd64ffffff,40584
8744c1c8effffff,29305
8744cd94effffff,85714
8744c3069ffffff,41302
8744c3404ffffff,41302
8744c06b4ffffff,41302
8744cd884ffffff,41302
8744cd906ffffff,41302
8744c260effffff,41368
8744ebc2dffffff,41420
8744eba94ffffff,41585
8744ceb0cffffff,62500
8744ccc5bffffff,50352
8744cc09effffff,42500
8744ccb20ffffff,42500
8744eb498ffffff,42500
8744eb386ffffff,42500
8744eb768ffffff,42500
8744c264bffffff,85714
8744cd875ffffff,85714
8744eb2d8ffffff,85714
8744c3c91ffffff,86124
8744ceab0ffffff,28747
8744ceab6ffffff,28747
8744c3003ffffff,35000
8744c3008ffffff,35000
8744cd90effffff,35000
8744c36a8ffffff,50000
8744ddcceffffff,50000
8744ea4c9ffffff,50000
8744c22c6ffffff,58071
8744c3604ffffff,50000
8744c36a0ffffff,50000
8744eb54affffff,35000
8744c2664ffffff,33754
8744dd9a8ffffff,100000
8744c3506ffffff,50000
8744c14adffffff,50000
8744ceb9affffff,29226
8744c3040ffffff,50000
8744c079bffffff,50000
8744eb20affffff,50000
8744c3053ffffff,29305
8744c300effffff,29305
8744c3633ffffff,44070
8744e821cffffff,118327
8744c3c8affffff,100000
8744c39a8ffffff,59164
8744c1c11ffffff,59164
8744eacdcffffff,59164
8744c345affffff,44576
8744c34c3ffffff,44576
8744c34deffffff,44576
8744c18a9ffffff,44595
8744c20c8ffffff,44748
8744c37b6ffffff,44898
8744c3453ffffff,44898
8744c38c3ffffff,60000
8744c206bffffff,60000
8744ddb00ffffff,60000
8744eaac8ffffff,60354
8744ea652ffffff,60354
8744e8483ffffff,60354
8744cdcc6ffffff,60354
